state,bill,session,status,taxonomy,tags
MA,S250,2025,Proposed,II,"Civil Penalties,Disclosure/Consent,Data Protection,Research,Consumer Protection,Transparency,Vulnerable Populations,Meta/Biometric Data"
MA,S2516,2025,Proposed,SR,"Civil Penalties,Criminal Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Consumer Protection,Pre-Market Review,Post-Market Review,Transparency,Malpractice/Liability,Vulnerable Populations,Meta/Biometric Data"
MA,S37,2025,Proposed,II,"Civil Penalties,Disclosure/Consent,Data Protection,Monitoring,Consumer Protection,Pre-Market Review,Post-Market Review,Transparency,Malpractice/Liability,Event Reporting,Special Purpose Entities,Safety Standards"
MD,HB1089,2025,Proposed,II,"Civil Penalties,Data Protection,Consumer Protection,Transparency,Meta/Biometric Data,Special Purpose Entities"
MD,HB1240,2025,Proposed,SR,"Civil Penalties,Monitoring,Consumer Protection,Post-Market Review,Transparency"
MD,HB1425,2025,Proposed,SR,"Civil Penalties,Criminal Penalties,Consumer Protection"
MD,SB1089,2024,Proposed,II,"Disclosure/Consent,Data Protection,Research,Consumer Protection,Vulnerable Populations,Meta/Biometric Data"
MD,SB818,2024,Enacted,SR,"Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Post-Market Review,Transparency,Opt Out,Pilot/Sandbox,Special Purpose Entities"
MD,SB936,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Safety Standards"
MD,SB987,2025,Proposed,SR,"Civil Penalties,Monitoring,Payments/Insurance,Pre-Market Review,Transparency"
ME,LD1977,2024,Failed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Consumer Protection,Post-Market Review,Transparency,Vulnerable Populations,Meta/Biometric Data,Safety Standards"
MN,HF2289,2025,Proposed,SR,"Civil Penalties,Practitioner Responsibilities,Monitoring,Human-in-the-Loop,Transparency,Special Purpose Entities"
MN,SF2940,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Data Protection,Consumer Protection,Transparency,Vulnerable Populations,Meta/Biometric Data"
MO,HB1462,2025,Proposed,II,"Practitioner Responsibilities,Malpractice/Liability,Event Reporting,Safety Standards"
MS,HB1268,2024,Failed,SR,"Civil Penalties,Disclosure/Consent,Data Protection,Research,Consumer Protection,Transparency,Vulnerable Populations"
MT,HB178,2025,Enacted,SR,"Disclosure/Consent,Discrimination/Bias,Consumer Protection,Human-in-the-Loop,Safety Standards"
NC,S624,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Data Protection,Monitoring,Consumer Protection,Payments/Insurance,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Malpractice/Liability,Event Reporting,Vulnerable Populations,Meta/Biometric Data,Safety Standards"
ND,HB1429,2025,Enacted,II,"Criminal Penalties,Consumer Protection"
NE,LB504,2025,Proposed,II,"Civil Penalties,Disclosure/Consent,Data Protection,Monitoring,Consumer Protection,Transparency,Vulnerable Populations,Meta/Biometric Data,Safety Standards"
NE,LB642,2025,Proposed,SR,"Disclosure/Consent,Discrimination/Bias,Risk Classification,Monitoring,Research,Post-Market Review,Transparency,Safety Standards"
NH,HB1432,2024,Enacted,II,"Civil Penalties,Criminal Penalties,Consumer Protection"
NH,HB1688,2024,Enacted,II,"Disclosure/Consent,Discrimination/Bias,Monitoring,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency,Meta/Biometric Data"
NJ,A1902,2024,Proposed,SR,"Civil Penalties,Disclosure/Consent,Data Protection,Monitoring,Research,Consumer Protection,Pre-Market Review,Transparency,Event Reporting,Vulnerable Populations,Meta/Biometric Data,Special Purpose Entities"
NJ,S1402,2022,Proposed,SR,"Civil Penalties,Discrimination/Bias,Practitioner Responsibilities"
NJ,S4463,2025,Proposed,E,"Civil Penalties,Consumer Protection"
NM,HB178,2025,Enacted,SR,"Licensing Board Oversight"
NM,HB184,2024,Proposed,II,"Discrimination/Bias,Monitoring,Post-Market Review,Transparency"
NM,HB401,2025,Proposed,SR,"Civil Penalties,Criminal Penalties,Disclosure/Consent,Data Protection,Monitoring,Research,Consumer Protection,Post-Market Review,Transparency,Event Reporting,Meta/Biometric Data,Safety Standards"
NM,HB60,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency,Event Reporting"
NV,AB406,2025,Proposed,E,"Civil Penalties,Licensing Board Oversight,Practitioner Responsibilities,Monitoring,Consumer Protection,Human-in-the-Loop,Vulnerable Populations"
NV,SB186,2025,Failed,SR,"Civil Penalties,Licensing Board Oversight,Disclosure/Consent,Practitioner Responsibilities,Human-in-the-Loop"
NV,SB370,2023,Enacted,SR,"Civil Penalties,Disclosure/Consent,Data Protection,Consumer Protection,Transparency,Meta/Biometric Data"
NY,A01415,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Consumer Protection,Transparency,Vulnerable Populations"
NY,A03265,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Consumer Protection,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Opt Out,Vulnerable Populations,Meta/Biometric Data,Safety Standards"
NY,A03356,2025,Proposed,SR,"Civil Penalties,Criminal Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Prescribing,Practitioner Responsibilities,Monitoring,Consumer Protection,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Event Reporting,Vulnerable Populations,Meta/Biometric Data,Special Purpose Entities,Safety Standards"
NY,A04947,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency,Meta/Biometric Data"
NY,A05216,2025,Proposed,II,"Discrimination/Bias,Data Protection,Pre-Market Review,Transparency,Safety Standards"
NY,A05827,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Consumer Protection,Post-Market Review,Transparency,Vulnerable Populations,Meta/Biometric Data,Special Purpose Entities,Safety Standards"
NY,A06453,2025,Proposed,II,"Civil Penalties,Data Protection,Monitoring,Research,Consumer Protection,Pre-Market Review,Post-Market Review,Transparency,Malpractice/Liability,Event Reporting,Safety Standards"
NY,S00822,2025,Enacted,II,"Transparency"
NY,S01169,2025,Proposed,SR,"Civil Penalties,Discrimination/Bias,Risk Classification,Monitoring,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Opt Out,Safety Standards"
NY,S01962,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Vulnerable Populations,Safety Standards"
NY,S03008,2025,Enacted,E,"Civil Penalties,Disclosure/Consent,Meta/Biometric Data,Special Purpose Entities,Safety Standards"
NY,S04276,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Meta/Biometric Data,Safety Standards"
NY,S05668,2025,Proposed,E,"Civil Penalties,Disclosure/Consent,Data Protection,Monitoring,Consumer Protection,Malpractice/Liability,Vulnerable Populations,Safety Standards"
NY,S07599,2025,Proposed,II,"Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency"
OH,SB163,2025,Proposed,II,"Civil Penalties,Criminal Penalties,Disclosure/Consent,Consumer Protection,Vulnerable Populations"
OK,HB1915,2025,Proposed,SR,"Civil Penalties,Discrimination/Bias,Practitioner Responsibilities,Monitoring,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Special Purpose Entities,Safety Standards"
OK,HB1916,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Consumer Protection,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Pilot/Sandbox,Vulnerable Populations,Meta/Biometric Data,Special Purpose Entities"
OK,HB2371,2025,Proposed,SR,"Pilot/Sandbox,Vulnerable Populations"
OK,HB3835,2024,Proposed,SR,"Civil Penalties,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Consumer Protection,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency"
OK,HB4201,2022,Proposed,II,"Data Protection"
OK,SB1975,2024,Proposed,SR,"Civil Penalties,Discrimination/Bias,Payments/Insurance,Transparency"
OK,SJR38,2022,Proposed,II,"Discrimination/Bias,Consumer Protection"
PA,SB913,2024,Proposed,E,"Disclosure/Consent,Vulnerable Populations"
RI,H6285,2023,Proposed,E,"Licensing Board Oversight,Disclosure/Consent,Practitioner Responsibilities,Monitoring,Human-in-the-Loop,Pre-Market Review,Opt Out,Safety Standards"
RI,H7521,2024,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Monitoring,Payments/Insurance,Human-in-the-Loop,Post-Market Review,Transparency,Opt Out"
RI,H7917,2022,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Research,Consumer Protection,Transparency,Vulnerable Populations,Meta/Biometric Data,Special Purpose Entities"
RI,S0358,2025,Proposed,SR,"Civil Penalties,Malpractice/Liability"
RI,S0627,2025,Proposed,SR,"Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency,Opt Out,Event Reporting,Safety Standards"
RI,S0824,2025,Proposed,II,"Civil Penalties,Disclosure/Consent,Data Protection,Research,Consumer Protection,Transparency,Meta/Biometric Data,Safety Standards"
RI,S1037,2025,Proposed,II,"Civil Penalties,Data Protection,Event Reporting,Vulnerable Populations,Meta/Biometric Data"
RI,S2888,2024,Proposed,SR,"Disclosure/Consent,Discrimination/Bias,Risk Classification,Monitoring,Post-Market Review"
SC,H3431,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Consumer Protection,Post-Market Review,Transparency,Event Reporting,Vulnerable Populations,Meta/Biometric Data,Safety Standards"
SC,S0268,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Consumer Protection,Post-Market Review,Transparency,Malpractice/Liability,Event Reporting,Vulnerable Populations,Safety Standards"
TX,HB1265,2025,Proposed,E,"Disclosure/Consent,Discrimination/Bias,Practitioner Responsibilities,Monitoring,Research,Human-in-the-Loop,Pre-Market Review,Transparency,Pilot/Sandbox,Malpractice/Liability,Vulnerable Populations,Safety Standards"
TX,HB149,2025,Proposed,SR,"Civil Penalties,Licensing Board Oversight,Disclosure/Consent,Discrimination/Bias,Data Protection,Practitioner Responsibilities,Monitoring,Research,Consumer Protection,Pre-Market Review,Post-Market Review,Transparency,Pilot/Sandbox,Malpractice/Liability,Event Reporting,Vulnerable Populations,Meta/Biometric Data,Special Purpose Entities,Safety Standards"
TX,HB1709,2025,Proposed,SR,"Civil Penalties,Licensing Board Oversight,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Practitioner Responsibilities,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Pilot/Sandbox,Meta/Biometric Data,Special Purpose Entities,Safety Standards"
TX,HB4455,2025,Proposed,SR,"Disclosure/Consent,Practitioner Responsibilities,Human-in-the-Loop"
TX,HB4854,2023,Proposed,SR,"Disclosure/Consent,Data Protection,Transparency,Meta/Biometric Data"
TX,SB1188,2025,Proposed,SR,"Civil Penalties,Licensing Board Oversight,Disclosure/Consent,Data Protection,Practitioner Responsibilities,Vulnerable Populations"
TX,SB1411,2025,Proposed,SR,"Civil Penalties,Licensing Board Oversight,Discrimination/Bias,Practitioner Responsibilities,Payments/Insurance"
TX,SB2373,2025,Proposed,II,"Civil Penalties,Criminal Penalties,Consumer Protection"
TX,SB2567,2025,Proposed,II,"Civil Penalties,Disclosure/Consent,Consumer Protection"
UT,HB0452,2025,Enacted,E,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Research,Consumer Protection,Post-Market Review,Malpractice/Liability,Event Reporting,Safety Standards"
UT,SB0226,2025,Enacted,E,"Civil Penalties,Disclosure/Consent,Risk Classification,Practitioner Responsibilities,Consumer Protection,Meta/Biometric Data"
VA,HB1555,2025,Proposed,II,"Disclosure/Consent,Data Protection,Prescribing,Practitioner Responsibilities,Monitoring,Consumer Protection,Pre-Market Review,Post-Market Review,Pilot/Sandbox,Malpractice/Liability,Event Reporting,Vulnerable Populations,Safety Standards"
VA,HB2046,2025,Proposed,SR,"Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Special Purpose Entities,Safety Standards"
VA,HB2094,2025,Failed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Data Protection,Monitoring,Research,Consumer Protection,Human-in-the-Loop,Pre-Market Review,Post-Market Review,Transparency,Pilot/Sandbox,Event Reporting,Safety Standards"
VA,HB2250,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Consumer Protection,Transparency,Malpractice/Liability,Vulnerable Populations,Meta/Biometric Data"
VA,HB747,2024,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Risk Classification,Practitioner Responsibilities,Monitoring,Research,Pre-Market Review,Post-Market Review,Transparency,Safety Standards"
VA,HB916,2022,Enacted,SR,"Data Protection,Practitioner Responsibilities,Transparency,Vulnerable Populations"
VT,H0121,2024,Failed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Research,Consumer Protection,Post-Market Review,Transparency,Vulnerable Populations,Meta/Biometric Data,Safety Standards"
VT,S0071,2025,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Research,Consumer Protection,Post-Market Review,Transparency,Vulnerable Populations,Meta/Biometric Data,Safety Standards"
WA,HB1155,2023,Enacted,SR,"Civil Penalties,Disclosure/Consent,Data Protection,Research,Consumer Protection,Transparency,Meta/Biometric Data,Special Purpose Entities,Safety Standards"
WA,HB1616,2024,Proposed,SR,"Civil Penalties,Disclosure/Consent,Discrimination/Bias,Data Protection,Monitoring,Research,Consumer Protection,Post-Market Review,Transparency,Vulnerable Populations,Meta/Biometric Data,Safety Standards"
WA,HB1833,2025,Proposed,II,"Special Purpose Entities"
WA,HB1951,2024,Proposed,SR,"Civil Penalties,Discrimination/Bias,Risk Classification,Data Protection,Practitioner Responsibilities,Monitoring,Consumer Protection,Human-in-the-Loop,Post-Market Review,Transparency"
