active_tags,bill,civil_penalties,consumer_protection,created_at,criminal_penalties,data_protection,disclosure_consent,discrimination_bias,event_reporting,human_in_the_loop,id,licensing_board_oversight,link,malpractice,meta_biometric_data,monitoring,opt_out,payments_insurance,pilot_sandbox,post_market_review,practitioner_responsibilities,pre_market_review,prescribing,research,risk_classification,safety_standards,session,special_purpose_entities,state,status,tag_count,taxonomy_code,transparency,vulnerable_populations
"['Civil Penalties', 'Disclosure/Consent', 'Data Protection', 'Vulnerable Populations', 'Safety Standards']",AB2877,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,False,73,False,https://legiscan.com/CA/bill/AB2877/2025,False,False,False,False,False,False,False,False,False,False,False,False,True,2024,False,CA,Proposed,5,SR,False,True
"['Discrimination/Bias', 'Risk Classification', 'Monitoring', 'Post-Market Review', 'Transparency']",AB2885,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,True,False,False,34,False,https://legiscan.com/CA/bill/AB2885/2025,False,False,True,False,False,False,True,False,False,False,False,True,False,2024,False,CA,Enacted,5,SR,True,False
"['Licensing Board Oversight', 'Discrimination/Bias', 'Risk Classification', 'Monitoring', 'Post-Market Review', 'Transparency']",AB302,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,True,False,False,44,True,https://legiscan.com/CA/bill/AB302/2025,False,False,True,False,False,False,True,False,False,False,False,True,False,2023,False,CA,Enacted,6,II,True,False
"['Licensing Board Oversight', 'Disclosure/Consent', 'Practitioner Responsibilities']",AB3030,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,False,False,False,43,True,https://legiscan.com/CA/bill/AB3030/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,2024,False,CA,Enacted,3,SR,False,False
"['Civil Penalties', 'Disclosure/Consent', 'Monitoring', 'Research', 'Consumer Protection', 'Pre-Market Review', 'Post-Market Review', 'Transparency', 'Meta/Biometric Data']",AB3211,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,False,False,False,32,False,https://legiscan.com/CA/bill/AB3211/2025,False,True,True,False,False,False,True,False,True,False,True,False,False,2024,False,CA,Proposed,9,II,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Practitioner Responsibilities', 'Monitoring', 'Human-in-the-Loop', 'Post-Market Review', 'Transparency', 'Opt Out']",AB331,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,True,False,True,74,False,https://legiscan.com/CA/bill/AB331/2025,False,False,True,True,False,False,True,True,False,False,False,True,False,2024,False,CA,Failed,10,E,True,False
"['Civil Penalties', 'Criminal Penalties', 'Licensing Board Oversight', 'Practitioner Responsibilities', 'Consumer Protection']",AB489,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",True,False,False,False,False,False,86,True,https://legiscan.com/CA/bill/AB489/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,2025,False,CA,Proposed,5,SR,False,False
"['Civil Penalties', 'Data Protection', 'Monitoring', 'Consumer Protection', 'Post-Market Review', 'Transparency', 'Malpractice/Liability', 'Event Reporting', 'Special Purpose Entities', 'Safety Standards']",SB1047,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,False,False,True,False,33,False,https://legiscan.com/CA/bill/SB1047/2025,True,False,True,False,False,False,True,False,False,False,False,False,True,2024,True,CA,Failed,10,II,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Data Protection', 'Research', 'Consumer Protection', 'Transparency', 'Vulnerable Populations', 'Meta/Biometric Data']",SB1223,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,False,76,False,https://legiscan.com/CA/bill/SB1223/2025,False,True,False,False,False,False,False,False,False,False,True,False,False,2024,False,CA,Enacted,8,II,True,True
"['Civil Penalties', 'Disclosure/Consent', 'Monitoring', 'Consumer Protection', 'Post-Market Review', 'Transparency', 'Event Reporting', 'Vulnerable Populations', 'Safety Standards']",SB243,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,False,True,False,35,False,https://legiscan.com/CA/bill/SB243/2025,False,False,True,False,False,False,True,False,False,False,False,False,True,2025,False,CA,Proposed,9,E,True,True
"['Civil Penalties', 'Consumer Protection', 'Post-Market Review']",SB295,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,False,42,False,https://legiscan.com/CA/bill/SB295/2025,False,False,False,False,False,False,True,False,False,False,False,False,False,2025,False,CA,Proposed,3,II,False,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Monitoring', 'Human-in-the-Loop', 'Post-Market Review', 'Transparency', 'Event Reporting']",SB420,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,True,True,True,38,False,https://legiscan.com/CA/bill/SB420/2025,False,False,True,False,False,False,True,False,False,False,False,True,False,2025,False,CA,Proposed,9,E,True,False
"['Discrimination/Bias', 'Practitioner Responsibilities', 'Monitoring', 'Post-Market Review']",SB503,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,True,False,False,87,False,https://legiscan.com/CA/bill/SB503/2025,False,False,True,False,False,False,True,True,False,False,False,False,False,2025,False,CA,Proposed,4,SR,False,False
['Special Purpose Entities'],SB579,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,False,27,False,https://legiscan.com/CA/bill/SB579/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,2025,True,CA,Proposed,1,E,False,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Practitioner Responsibilities', 'Monitoring', 'Research', 'Consumer Protection', 'Human-in-the-Loop', 'Post-Market Review', 'Transparency', 'Opt Out', 'Event Reporting', 'Vulnerable Populations']",SB205,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,True,True,102,False,https://legiscan.com/CO/bill/SB205/2025,False,False,True,True,False,False,True,True,False,False,True,True,False,2024,False,CO,Enacted,15,SR,True,True
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Monitoring', 'Consumer Protection', 'Human-in-the-Loop', 'Post-Market Review', 'Transparency', 'Event Reporting', 'Vulnerable Populations']",SB318,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,True,True,98,False,https://legiscan.com/CO/bill/SB318/2025,False,False,True,False,False,False,True,False,False,False,False,True,False,2025,False,CO,Failed,12,SR,True,True
"['Disclosure/Consent', 'Discrimination/Bias', 'Data Protection', 'Monitoring', 'Post-Market Review', 'Transparency', 'Opt Out', 'Special Purpose Entities']",HB06060,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,False,False,114,False,https://legiscan.com/CT/bill/HB06060/2025,False,False,True,True,False,False,True,False,False,False,False,False,False,2025,True,CT,Proposed,8,SR,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Data Protection', 'Research', 'Consumer Protection', 'Transparency', 'Vulnerable Populations']",SB00003,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,False,False,112,False,https://legiscan.com/CT/bill/SB00003/2025,False,False,False,False,False,False,False,False,False,False,True,False,False,2023,False,CT,Enacted,8,SR,True,True
"['Data Protection', 'Monitoring', 'Pilot/Sandbox', 'Event Reporting', 'Special Purpose Entities']",S7026,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,False,False,True,False,139,False,https://legiscan.com/FL/bill/S7026/2025,False,False,True,False,False,True,False,False,False,False,False,False,False,2025,True,FL,Proposed,5,II,False,False
"['Licensing Board Oversight', 'Payments/Insurance', 'Human-in-the-Loop']",HB887,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,True,153,True,https://legiscan.com/GA/bill/HB887/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,2024,False,GA,Proposed,3,SR,False,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Monitoring', 'Research', 'Consumer Protection', 'Human-in-the-Loop', 'Post-Market Review', 'Transparency', 'Event Reporting', 'Safety Standards']",SB167,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,True,True,151,False,https://legiscan.com/GA/bill/SB167/2025,False,False,True,False,False,False,True,False,False,False,True,True,True,2025,False,GA,Proposed,13,SR,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Data Protection', 'Research', 'Consumer Protection', 'Transparency', 'Meta/Biometric Data']",HB1566,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,False,181,False,https://legiscan.com/HI/bill/HB1566/2025,False,True,False,False,False,False,False,False,False,False,True,False,False,2024,False,HI,Proposed,7,SR,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Monitoring', 'Human-in-the-Loop', 'Pre-Market Review', 'Post-Market Review', 'Transparency', 'Meta/Biometric Data']",HB1607,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,True,False,True,169,False,https://legiscan.com/HI/bill/HB1607/2025,False,True,True,False,False,False,True,False,True,False,False,False,False,2024,False,HI,Proposed,9,SR,True,False
"['Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Practitioner Responsibilities', 'Monitoring', 'Human-in-the-Loop', 'Pre-Market Review', 'Post-Market Review', 'Transparency', 'Opt Out', 'Pilot/Sandbox', 'Vulnerable Populations', 'Safety Standards']",HB2152,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,False,True,172,False,https://legiscan.com/HI/bill/HB2152/2025,False,False,True,True,False,True,True,True,True,False,False,True,True,2024,False,HI,Proposed,14,SR,True,True
"['Civil Penalties', 'Monitoring', 'Human-in-the-Loop', 'Post-Market Review', 'Transparency', 'Event Reporting']",HB62,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,True,True,180,False,https://legiscan.com/HI/bill/HB62/2025,False,False,True,False,False,False,True,False,False,False,False,False,False,2025,False,HI,Proposed,6,SR,True,False
"['Disclosure/Consent', 'Data Protection', 'Research', 'Consumer Protection', 'Transparency', 'Vulnerable Populations', 'Meta/Biometric Data']",SB2696,False,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,False,183,False,https://legiscan.com/HI/bill/SB2696/2025,False,True,False,False,False,False,False,False,False,False,True,False,False,2024,False,HI,Proposed,7,SR,True,True
"['Civil Penalties', 'Disclosure/Consent', 'Consumer Protection']",SB640,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,False,False,False,167,False,https://legiscan.com/HI/bill/SB640/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,2025,False,HI,Proposed,3,II,False,False
"['Civil Penalties', 'Licensing Board Oversight', 'Disclosure/Consent', 'Data Protection', 'Practitioner Responsibilities', 'Consumer Protection', 'Human-in-the-Loop', 'Meta/Biometric Data']",HB1806,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,True,203,True,https://legiscan.com/IL/bill/HB1806/2025,False,True,False,False,False,False,False,True,False,False,False,False,False,2025,False,IL,Proposed,8,E,False,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Data Protection', 'Monitoring', 'Research', 'Consumer Protection', 'Post-Market Review', 'Transparency', 'Vulnerable Populations', 'Meta/Biometric Data', 'Safety Standards']",HB3041,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,False,False,228,False,https://legiscan.com/IL/bill/HB3041/2025,False,True,True,False,False,False,True,False,False,False,True,False,True,2025,False,IL,Proposed,12,E,True,True
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Monitoring', 'Human-in-the-Loop', 'Pre-Market Review', 'Post-Market Review', 'Transparency', 'Opt Out', 'Malpractice/Liability']",HB5116,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,True,False,True,206,False,https://legiscan.com/IL/bill/HB5116/2025,True,False,True,True,False,False,True,False,True,False,False,False,False,2025,False,IL,Failed,10,E,True,False
"['Civil Penalties', 'Discrimination/Bias', 'Data Protection', 'Monitoring', 'Human-in-the-Loop', 'Post-Market Review', 'Transparency', 'Safety Standards']",HB5322,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,False,True,False,True,204,False,https://legiscan.com/IL/bill/HB5322/2025,False,False,True,False,False,False,True,False,False,False,False,False,True,2025,False,IL,Failed,8,E,True,False
"['Civil Penalties', 'Licensing Board Oversight', 'Disclosure/Consent', 'Practitioner Responsibilities', 'Consumer Protection']",HB5649,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,False,False,False,202,True,https://legiscan.com/IL/bill/HB5649/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,2025,False,IL,Failed,5,E,False,False
"['Civil Penalties', 'Practitioner Responsibilities', 'Human-in-the-Loop', 'Safety Standards']",SB2022,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,True,218,False,https://legiscan.com/IL/bill/SB2022/2025,False,False,False,False,False,False,False,True,False,False,False,False,True,2025,False,IL,Proposed,4,SR,False,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Monitoring', 'Consumer Protection', 'Human-in-the-Loop', 'Post-Market Review', 'Transparency', 'Opt Out']",SB2203,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,True,False,True,205,False,https://legiscan.com/IL/bill/SB2203/2025,False,False,True,True,False,False,True,False,False,False,False,False,False,2025,False,IL,Proposed,9,E,True,False
"['Civil Penalties', 'Licensing Board Oversight', 'Disclosure/Consent', 'Practitioner Responsibilities', 'Human-in-the-Loop', 'Opt Out']",SB2259,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,False,False,True,212,True,https://legiscan.com/IL/bill/SB2259/2025,False,False,False,True,False,False,False,True,False,False,False,False,False,2025,False,IL,Proposed,6,E,False,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Data Protection', 'Research', 'Consumer Protection', 'Transparency', 'Vulnerable Populations']",SB2273,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,False,False,215,False,https://legiscan.com/IL/bill/SB2273/2025,False,False,False,False,False,False,False,False,False,False,True,False,False,2025,False,IL,Proposed,8,E,True,True
"['Disclosure/Consent', 'Practitioner Responsibilities', 'Payments/Insurance']",HB1620,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,False,False,False,230,False,https://legiscan.com/IN/bill/HB1620/2025,False,False,False,False,True,False,False,True,False,False,False,False,False,2025,False,IN,Proposed,3,E,False,False
"['Civil Penalties', 'Disclosure/Consent', 'Data Protection', 'Monitoring', 'Consumer Protection', 'Payments/Insurance', 'Pre-Market Review', 'Pilot/Sandbox', 'Special Purpose Entities']",HB724,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,False,240,False,https://legiscan.com/KY/bill/HB724/2025,False,False,True,False,True,True,False,False,True,False,False,False,False,2022,True,KY,Proposed,9,II,False,False
"['Civil Penalties', 'Practitioner Responsibilities', 'Human-in-the-Loop']",HB114,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,True,245,False,https://legiscan.com/LA/bill/HB114/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,2025,False,LA,Proposed,3,SR,False,False
"['Licensing Board Oversight', 'Practitioner Responsibilities', 'Human-in-the-Loop']",HB916,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,True,244,True,https://legiscan.com/LA/bill/HB916/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,2024,False,LA,Proposed,3,SR,False,False
"['Disclosure/Consent', 'Discrimination/Bias', 'Monitoring', 'Payments/Insurance', 'Transparency']",H1210,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,True,False,False,311,False,https://legiscan.com/MA/bill/H1210/2025,False,False,True,False,True,False,False,False,False,False,False,False,False,2025,False,MA,Proposed,5,SR,True,False
"['Licensing Board Oversight', 'Disclosure/Consent', 'Practitioner Responsibilities', 'Monitoring', 'Human-in-the-Loop', 'Pre-Market Review', 'Opt Out', 'Safety Standards']",H1974,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,False,False,True,289,True,https://legiscan.com/MA/bill/H1974/2025,False,False,True,True,False,False,False,True,True,False,False,False,True,2024,False,MA,Proposed,8,E,False,False
"['Civil Penalties', 'Criminal Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Data Protection', 'Monitoring', 'Research', 'Consumer Protection', 'Post-Market Review', 'Transparency', 'Vulnerable Populations', 'Meta/Biometric Data']",H83,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",True,True,True,True,False,False,299,False,https://legiscan.com/MA/bill/H83/2025,False,True,True,False,False,False,True,False,False,False,True,False,False,2024,False,MA,Proposed,12,SR,True,True
"['Civil Penalties', 'Disclosure/Consent', 'Risk Classification', 'Monitoring', 'Consumer Protection', 'Post-Market Review', 'Transparency']",H94,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,False,False,False,301,False,https://legiscan.com/MA/bill/H94/2025,False,False,True,False,False,False,True,False,False,False,False,True,False,2025,False,MA,Proposed,7,SR,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Monitoring', 'Research', 'Consumer Protection', 'Human-in-the-Loop', 'Post-Market Review', 'Transparency', 'Opt Out', 'Event Reporting', 'Safety Standards']",H97,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,True,True,318,False,https://legiscan.com/MA/bill/H97/2025,False,False,True,True,False,False,True,False,False,False,True,True,True,2025,False,MA,Proposed,14,SR,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Data Protection', 'Research', 'Consumer Protection', 'Transparency', 'Vulnerable Populations', 'Meta/Biometric Data']",S250,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,False,322,False,https://legiscan.com/MA/bill/S250/2025,False,True,False,False,False,False,False,False,False,False,True,False,False,2025,False,MA,Proposed,8,II,True,True
"['Civil Penalties', 'Criminal Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Monitoring', 'Research', 'Consumer Protection', 'Pre-Market Review', 'Post-Market Review', 'Transparency', 'Malpractice/Liability', 'Vulnerable Populations', 'Meta/Biometric Data']",S2516,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",True,True,True,True,False,False,312,False,https://legiscan.com/MA/bill/S2516/2025,True,True,True,False,False,False,True,False,True,False,True,True,False,2025,False,MA,Proposed,15,SR,True,True
"['Civil Penalties', 'Disclosure/Consent', 'Data Protection', 'Monitoring', 'Consumer Protection', 'Pre-Market Review', 'Post-Market Review', 'Transparency', 'Malpractice/Liability', 'Event Reporting', 'Special Purpose Entities', 'Safety Standards']",S37,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,True,False,320,False,https://legiscan.com/MA/bill/S37/2025,True,False,True,False,False,False,True,False,True,False,False,False,True,2025,True,MA,Proposed,12,II,True,False
"['Civil Penalties', 'Data Protection', 'Consumer Protection', 'Transparency', 'Meta/Biometric Data', 'Special Purpose Entities']",HB1089,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,False,False,False,False,271,False,https://legiscan.com/MD/bill/HB1089/2025,False,True,False,False,False,False,False,False,False,False,False,False,False,2025,True,MD,Proposed,6,II,True,False
"['Civil Penalties', 'Monitoring', 'Consumer Protection', 'Post-Market Review', 'Transparency']",HB1240,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,False,266,False,https://legiscan.com/MD/bill/HB1240/2025,False,False,True,False,False,False,True,False,False,False,False,False,False,2025,False,MD,Proposed,5,SR,True,False
"['Civil Penalties', 'Criminal Penalties', 'Consumer Protection']",HB1425,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",True,False,False,False,False,False,259,False,https://legiscan.com/MD/bill/HB1425/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,2025,False,MD,Proposed,3,SR,False,False
"['Disclosure/Consent', 'Data Protection', 'Research', 'Consumer Protection', 'Vulnerable Populations', 'Meta/Biometric Data']",SB1089,False,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,False,282,False,https://legiscan.com/MD/bill/SB1089/2025,False,True,False,False,False,False,False,False,False,False,True,False,False,2024,False,MD,Proposed,6,II,False,True
"['Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Monitoring', 'Research', 'Post-Market Review', 'Transparency', 'Opt Out', 'Pilot/Sandbox', 'Special Purpose Entities']",SB818,False,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,False,True,False,False,250,False,https://legiscan.com/MD/bill/SB818/2025,False,False,True,True,False,True,True,False,False,False,True,True,False,2024,True,MD,Enacted,10,SR,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Monitoring', 'Research', 'Consumer Protection', 'Human-in-the-Loop', 'Pre-Market Review', 'Post-Market Review', 'Transparency', 'Safety Standards']",SB936,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,True,True,False,True,257,False,https://legiscan.com/MD/bill/SB936/2025,False,False,True,False,False,False,True,False,True,False,True,True,True,2025,False,MD,Proposed,12,SR,True,False
"['Civil Penalties', 'Monitoring', 'Payments/Insurance', 'Pre-Market Review', 'Transparency']",SB987,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,False,268,False,https://legiscan.com/MD/bill/SB987/2025,False,False,True,False,True,False,False,False,True,False,False,False,False,2025,False,MD,Proposed,5,SR,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Discrimination/Bias', 'Risk Classification', 'Data Protection', 'Monitoring', 'Research', 'Consumer Protection', 'Post-Market Review', 'Transparency', 'Vulnerable Populations', 'Meta/Biometric Data', 'Safety Standards']",LD1977,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,True,False,False,248,False,https://legiscan.com/ME/bill/LD1977/2025,False,True,True,False,False,False,True,False,False,False,True,True,True,2024,False,ME,Failed,13,SR,True,True
"['Civil Penalties', 'Practitioner Responsibilities', 'Monitoring', 'Human-in-the-Loop', 'Transparency', 'Special Purpose Entities']",HF2289,True,False,"Tue, 08 Jul 2025 13:01:39 GMT",False,False,False,False,False,True,369,False,https://legiscan.com/MN/bill/HF2289/2025,False,False,True,False,False,False,False,True,False,False,False,False,False,2025,True,MN,Proposed,6,SR,True,False
"['Civil Penalties', 'Disclosure/Consent', 'Data Protection', 'Consumer Protection', 'Transparency', 'Vulnerable Populations', 'Meta/Biometric Data']",SF2940,True,True,"Tue, 08 Jul 2025 13:01:39 GMT",False,True,True,False,False,False,352,False,https://legiscan.com/MN/bill/SF2940/2025,False,True,False,False,False,False,False,False,False,False,False,False,False,2025,False,MN,Proposed,7,SR,True,True
